captured_kst,language,positive,negative,total,positive_ratio
2026-06-19 20:38:28,koreana,42,9,51,0.8235
2026-06-19 20:38:28,tchinese,16,15,31,0.5161
2026-06-19 20:38:28,russian,8,1,9,0.8889
2026-06-19 20:38:28,brazilian,3,0,3,1.0
2026-06-19 20:38:28,thai,3,0,3,1.0
2026-06-19 20:38:28,latam,3,0,3,1.0
2026-06-19 20:38:28,turkish,3,0,3,1.0
2026-06-19 20:38:28,spanish,2,1,3,0.6667
2026-06-19 20:38:28,french,2,0,2,1.0
2026-06-19 20:38:28,ukrainian,2,0,2,1.0
2026-06-19 20:38:28,german,2,0,2,1.0
2026-06-19 20:38:28,vietnamese,0,1,1,0.0
2026-06-19 20:38:28,japanese,1,0,1,1.0
2026-06-19 20:51:33,collected_all,248,102,350,0.7086
2026-06-19 20:51:33,steam_total,246,100,346,0.711
2026-06-19 20:51:33,deleted_count,,,0,
2026-06-19 20:51:33,schinese,91,70,161,0.5652
2026-06-19 20:51:33,english,70,5,75,0.9333
2026-06-19 20:51:33,koreana,42,9,51,0.8235
2026-06-19 20:51:33,tchinese,16,15,31,0.5161
2026-06-19 20:51:33,russian,8,1,9,0.8889
2026-06-19 20:51:33,brazilian,3,0,3,1.0
2026-06-19 20:51:33,thai,3,0,3,1.0
2026-06-19 20:51:33,latam,3,0,3,1.0
2026-06-19 20:51:33,turkish,3,0,3,1.0
2026-06-19 20:51:33,spanish,2,1,3,0.6667
2026-06-19 20:51:33,french,2,0,2,1.0
2026-06-19 20:51:33,ukrainian,2,0,2,1.0
2026-06-19 20:51:33,german,2,0,2,1.0
2026-06-19 20:51:33,vietnamese,0,1,1,0.0
2026-06-19 20:51:33,japanese,1,0,1,1.0
2026-06-19 21:10:19,collected_all,248,102,350,0.7086
2026-06-19 21:10:19,steam_total,249,105,354,0.7034
2026-06-19 21:10:19,deleted_count,,,0,
2026-06-19 21:10:19,schinese,91,70,161,0.5652
2026-06-19 21:10:19,english,70,5,75,0.9333
2026-06-19 21:10:19,koreana,42,9,51,0.8235
2026-06-19 21:10:19,tchinese,16,15,31,0.5161
2026-06-19 21:10:19,russian,8,1,9,0.8889
2026-06-19 21:10:19,brazilian,3,0,3,1.0
2026-06-19 21:10:19,thai,3,0,3,1.0
2026-06-19 21:10:19,latam,3,0,3,1.0
2026-06-19 21:10:19,turkish,3,0,3,1.0
2026-06-19 21:10:19,spanish,2,1,3,0.6667
2026-06-19 21:10:19,french,2,0,2,1.0
2026-06-19 21:10:19,ukrainian,2,0,2,1.0
2026-06-19 21:10:19,german,2,0,2,1.0
2026-06-19 21:10:19,vietnamese,0,1,1,0.0
2026-06-19 21:10:19,japanese,1,0,1,1.0
2026-06-19 21:35:05,collected_all,248,102,350,0.7086
2026-06-19 21:35:05,steam_total,249,105,354,0.7034
2026-06-19 21:35:05,deleted_count,,,0,
2026-06-19 21:35:05,schinese,91,70,161,0.5652
2026-06-19 21:35:05,english,70,5,75,0.9333
2026-06-19 21:35:05,koreana,42,9,51,0.8235
2026-06-19 21:35:05,tchinese,16,15,31,0.5161
2026-06-19 21:35:05,russian,8,1,9,0.8889
2026-06-19 21:35:05,brazilian,3,0,3,1.0
2026-06-19 21:35:05,thai,3,0,3,1.0
2026-06-19 21:35:05,latam,3,0,3,1.0
2026-06-19 21:35:05,turkish,3,0,3,1.0
2026-06-19 21:35:05,spanish,2,1,3,0.6667
2026-06-19 21:35:05,french,2,0,2,1.0
2026-06-19 21:35:05,ukrainian,2,0,2,1.0
2026-06-19 21:35:05,german,2,0,2,1.0
2026-06-19 21:35:05,vietnamese,0,1,1,0.0
2026-06-19 21:35:05,japanese,1,0,1,1.0
2026-06-19 22:05:06,collected_all,248,102,350,0.7086
2026-06-19 22:05:06,steam_total,257,103,360,0.7139
2026-06-19 22:05:06,deleted_count,,,0,
2026-06-19 22:05:06,schinese,91,70,161,0.5652
2026-06-19 22:05:06,english,70,5,75,0.9333
2026-06-19 22:05:06,koreana,42,9,51,0.8235
2026-06-19 22:05:06,tchinese,16,15,31,0.5161
2026-06-19 22:05:06,russian,8,1,9,0.8889
2026-06-19 22:05:06,brazilian,3,0,3,1.0
2026-06-19 22:05:06,thai,3,0,3,1.0
2026-06-19 22:05:06,latam,3,0,3,1.0
2026-06-19 22:05:06,turkish,3,0,3,1.0
2026-06-19 22:05:06,spanish,2,1,3,0.6667
2026-06-19 22:05:06,french,2,0,2,1.0
2026-06-19 22:05:06,ukrainian,2,0,2,1.0
2026-06-19 22:05:06,german,2,0,2,1.0
2026-06-19 22:05:06,vietnamese,0,1,1,0.0
2026-06-19 22:05:06,japanese,1,0,1,1.0
2026-06-19 22:35:06,collected_all,260,103,363,0.7163
2026-06-19 22:35:06,steam_total,257,103,360,0.7139
2026-06-19 22:35:06,deleted_count,,,0,
2026-06-19 22:35:06,schinese,97,71,168,0.5774
2026-06-19 22:35:06,english,72,5,77,0.9351
2026-06-19 22:35:06,koreana,45,9,54,0.8333
2026-06-19 22:35:06,tchinese,17,15,32,0.5312
2026-06-19 22:35:06,russian,8,1,9,0.8889
2026-06-19 22:35:06,brazilian,3,0,3,1.0
2026-06-19 22:35:06,thai,3,0,3,1.0
2026-06-19 22:35:06,latam,3,0,3,1.0
2026-06-19 22:35:06,turkish,3,0,3,1.0
2026-06-19 22:35:06,spanish,2,1,3,0.6667
2026-06-19 22:35:06,french,2,0,2,1.0
2026-06-19 22:35:06,ukrainian,2,0,2,1.0
2026-06-19 22:35:06,german,2,0,2,1.0
2026-06-19 22:35:06,vietnamese,0,1,1,0.0
2026-06-19 22:35:06,japanese,1,0,1,1.0
2026-06-19 23:05:06,collected_all,260,103,363,0.7163
2026-06-19 23:05:06,steam_total,268,105,373,0.7185
2026-06-19 23:05:06,deleted_count,,,0,
2026-06-19 23:05:06,schinese,97,71,168,0.5774
2026-06-19 23:05:06,english,72,5,77,0.9351
2026-06-19 23:05:06,koreana,45,9,54,0.8333
2026-06-19 23:05:06,tchinese,17,15,32,0.5312
2026-06-19 23:05:06,russian,8,1,9,0.8889
2026-06-19 23:05:06,brazilian,3,0,3,1.0
2026-06-19 23:05:06,thai,3,0,3,1.0
2026-06-19 23:05:06,latam,3,0,3,1.0
2026-06-19 23:05:06,turkish,3,0,3,1.0
2026-06-19 23:05:06,spanish,2,1,3,0.6667
2026-06-19 23:05:06,french,2,0,2,1.0
2026-06-19 23:05:06,ukrainian,2,0,2,1.0
